,B01001_001E,B01001_003E,B01001_004E,B01001_005E,B01001_006E,B01001_027E,B01001_028E,B01001_029E,B01001_030E,B01001_001M,B01001_003M,B01001_004M,B01001_005M,B01001_006M,B01001_027M,B01001_028M,B01001_029M,B01001_030M,state,county,tract
30,773,29,0,7,20,20,0,0,17,177,23,11,11,20,21,11,11,27,17,031,490400
31,2852,43,9,102,12,125,177,90,40,216,33,14,38,18,64,83,63,51,17,031,060100
32,3440,111,108,29,43,208,60,91,6,397,61,46,19,33,128,38,51,10,17,031,040700
33,1842,21,23,54,28,21,31,27,9,260,24,36,45,25,25,27,24,14,17,031,040900
34,3214,132,71,56,30,156,125,41,19,274,86,39,44,27,71,50,33,17,17,031,060300
35,3779,132,94,70,42,291,133,36,0,299,59,55,36,35,102,64,31,11,17,031,060400
36,2981,73,58,0,12,50,22,12,0,270,66,36,11,17,47,25,18,11,17,031,062000
37,2719,92,46,15,0,99,47,10,0,249,51,34,18,11,44,24,18,11,17,031,062200
38,1575,67,34,22,3,58,29,19,2,144,48,24,16,5,30,16,15,5,17,031,062500
39,2310,34,37,107,0,81,0,34,0,244,41,33,56,11,56,11,27,11,17,031,063100
40,6838,190,220,151,109,307,281,170,53,450,126,105,107,75,115,177,130,54,17,031,090200
41,3364,128,130,117,55,186,114,87,33,176,62,69,65,38,80,47,50,29,17,031,100400
42,4700,159,146,72,53,84,139,53,52,303,81,69,43,53,46,62,33,41,17,031,100700
43,6516,279,220,206,97,238,298,136,79,396,141,84,106,66,105,151,73,53,17,031,120300
44,3897,160,161,57,78,134,88,193,32,636,121,98,65,58,104,70,117,28,17,031,292500
45,6065,76,109,194,34,128,44,55,24,461,54,93,165,38,85,47,54,36,17,031,071500
46,1756,50,54,65,66,79,39,64,44,157,30,29,33,45,36,22,36,27,17,031,390600
47,375,18,11,0,0,30,15,34,6,80,18,15,11,11,15,16,23,9,17,031,381500
48,2089,61,42,10,17,10,29,22,0,246,55,22,15,16,15,34,24,11,17,031,410700
49,3374,103,121,147,88,89,121,107,71,559,79,84,111,52,82,81,104,46,17,031,460400
50,3726,95,203,170,138,46,72,227,176,463,57,89,87,73,47,42,116,71,17,031,560700
51,5502,229,106,185,160,140,222,206,45,305,99,63,107,74,83,66,72,34,17,031,561100
52,2074,40,43,71,104,123,29,84,65,278,35,35,53,68,62,31,47,36,17,031,570200
53,4522,197,173,148,16,187,80,92,0,529,128,71,116,25,132,67,89,11,17,031,010100
54,6428,148,85,36,19,32,147,69,14,512,84,70,45,31,36,116,53,24,17,031,030500
55,2778,34,142,78,35,12,28,134,23,443,44,94,54,46,20,39,127,33,17,031,710700
56,2018,78,55,85,45,46,97,99,76,284,60,38,45,44,41,55,52,50,17,031,710900
57,2591,37,114,85,48,103,117,97,80,309,33,44,46,30,65,69,66,53,17,031,711400
58,4100,177,94,70,166,258,101,93,29,184,106,58,50,82,111,54,57,23,17,031,720300
59,1137,55,40,26,29,26,29,21,29,158,38,32,21,23,29,19,20,22,17,031,730300
60,3182,118,63,108,38,172,178,117,0,250,58,51,62,33,104,83,58,11,17,031,740100
61,3625,199,69,0,26,123,92,80,0,219,69,38,11,24,52,49,51,11,17,031,062800
62,2318,61,72,34,0,90,0,13,0,236,38,59,39,11,51,11,20,11,17,031,063400
63,3421,104,69,31,10,129,100,69,48,337,50,43,35,17,74,46,42,31,17,031,070500
64,1832,63,51,84,21,80,73,60,18,143,28,22,30,16,37,29,31,13,17,031,071600
65,2741,122,87,40,6,96,70,117,70,241,66,41,36,13,45,40,55,56,17,031,071800
66,6795,65,0,102,86,73,86,88,91,639,77,15,78,92,106,102,99,115,17,031,080100
67,4142,301,79,53,50,386,118,95,60,477,234,71,87,70,193,119,114,78,17,031,080400
68,5313,27,0,23,0,15,51,109,32,545,42,15,33,15,27,53,90,35,17,031,081300
69,7859,337,249,210,162,82,328,146,141,658,161,154,119,101,72,138,96,110,17,031,150300
70,6872,250,191,284,36,158,180,160,50,565,120,110,136,37,128,109,105,48,17,031,100200
71,6186,129,197,48,129,144,79,110,77,326,78,117,49,115,100,58,65,56,17,031,100300
72,3749,57,146,77,75,160,245,91,64,317,55,70,47,47,94,114,50,45,17,031,120400
73,3474,40,128,70,98,68,126,50,109,393,36,68,59,69,57,62,45,48,17,031,151200
74,3002,91,67,87,89,96,90,23,55,286,76,50,51,49,64,59,32,53,17,031,160200
75,4044,273,86,74,57,35,136,125,96,338,147,59,81,40,34,105,106,63,17,031,170400
76,4189,104,168,77,62,180,165,63,61,350,71,73,35,36,81,99,45,39,17,031,170800
77,6360,318,151,153,105,234,187,144,51,593,136,104,95,119,138,121,105,50,17,031,180100
78,2997,41,0,190,81,32,29,88,76,304,48,11,115,65,37,33,79,80,17,031,821402
79,6138,253,251,237,130,111,170,248,172,407,139,110,114,87,68,112,112,94,17,031,823304
80,2653,25,138,133,58,164,47,65,37,485,27,77,70,36,120,38,55,29,17,031,530600
81,4219,85,126,89,135,51,156,81,133,591,80,126,71,90,79,140,78,83,17,031,310800
82,3475,106,42,74,37,72,75,129,75,237,63,38,45,33,47,52,55,59,17,031,330200
83,1712,53,4,43,16,23,12,9,11,188,47,8,37,25,18,13,16,11,17,031,340500
84,773,0,35,0,7,55,8,0,0,86,11,23,11,10,27,12,11,11,17,031,351500
85,2843,154,57,152,42,168,84,69,35,383,115,64,111,42,108,60,53,36,17,031,390300
86,2706,150,71,114,86,142,109,100,39,532,105,66,103,80,117,80,87,44,17,031,400800
87,3051,10,54,84,79,81,97,17,12,291,16,40,80,63,70,81,27,19,17,031,410800
88,2737,38,44,40,13,44,19,27,61,262,37,42,25,18,35,18,23,40,17,031,420300
89,4961,123,150,176,82,202,104,210,33,814,124,97,138,96,242,86,174,38,17,031,430200
90,3569,258,210,247,61,76,80,69,87,610,209,143,106,57,59,71,94,47,17,031,430500
91,6979,76,42,196,139,335,246,226,148,882,74,67,171,116,251,203,136,108,17,031,431400
92,1440,0,0,38,24,42,24,34,7,218,11,11,29,30,50,22,31,10,17,031,440700
93,2336,35,70,92,25,0,15,47,24,433,40,75,76,30,11,20,40,21,17,031,470100
94,2192,52,48,61,82,21,34,34,13,207,49,40,36,61,25,22,22,14,17,031,480100
95,4160,187,81,114,61,69,79,35,74,577,143,55,76,50,66,49,32,60,17,031,491100
96,2605,127,107,86,28,117,89,79,43,522,86,66,48,28,76,44,54,33,17,031,491300
97,3077,75,44,95,110,72,223,124,60,436,72,34,75,72,52,124,84,43,17,031,510100
98,1810,60,36,102,41,44,85,99,29,288,37,28,39,36,28,45,54,24,17,031,520100
99,2236,15,73,80,98,93,85,53,47,378,25,44,52,51,48,48,37,37,17,031,530100
100,3920,95,115,150,20,323,135,56,89,564,74,63,97,18,205,73,48,66,17,031,530200
101,1539,33,54,34,19,48,53,50,34,202,25,23,29,15,39,44,40,32,17,031,560100
102,1181,58,18,47,16,42,6,6,12,247,42,20,55,25,38,9,10,19,17,031,310400
103,4432,50,132,84,0,67,99,27,9,565,60,139,85,11,90,103,32,15,17,031,310600
104,3306,97,31,78,0,49,36,35,57,294,59,27,47,11,43,44,45,39,17,031,242300
105,4963,48,222,222,77,163,34,227,40,552,53,108,176,77,158,40,125,41,17,031,250400
106,4161,287,154,118,198,125,168,130,173,563,136,109,96,107,103,138,90,77,17,031,251600
107,4943,329,205,252,114,192,313,165,139,675,166,113,126,75,122,131,101,84,17,031,251800
108,1488,76,37,70,70,19,102,31,40,369,57,36,60,47,30,50,34,35,17,031,260900
109,1263,39,42,39,28,36,27,66,13,208,33,26,37,26,32,25,36,20,17,031,271200
110,2043,64,55,77,55,100,72,74,18,174,37,30,37,29,44,36,34,15,17,031,161100
111,3090,96,109,66,22,143,118,93,49,300,41,42,36,23,56,54,45,33,17,031,161200
112,3605,190,74,83,23,181,85,44,42,372,89,48,64,25,85,55,51,42,17,031,283800
113,3204,19,0,7,29,6,0,0,0,297,17,11,10,30,9,11,11,11,17,031,320400
114,6584,199,153,182,146,368,272,232,29,815,128,98,113,92,177,119,119,36,17,031,020500
115,1857,78,34,13,16,78,38,5,7,116,37,23,17,18,39,33,8,9,17,031,031800
116,6837,82,68,124,13,135,0,0,95,947,106,105,166,40,110,15,15,151,17,031,032100
117,3879,239,78,45,48,138,72,69,19,372,88,48,45,33,74,35,38,20,17,031,040100
118,2723,83,141,34,23,131,92,74,26,278,90,63,32,24,69,58,44,24,17,031,050300
119,1594,65,13,77,38,89,31,31,23,144,32,13,42,32,34,22,20,28,17,031,051200
120,2324,50,62,46,54,71,0,83,32,230,33,45,42,51,54,11,50,23,17,031,060200
121,2208,49,36,0,0,27,0,0,4,134,31,21,11,11,35,11,11,7,17,031,061000
122,1576,62,26,16,0,90,14,44,4,143,43,29,17,11,55,14,40,8,17,031,062400
123,4283,137,89,106,33,75,57,53,11,498,86,89,73,29,47,48,63,18,17,031,070200
124,3575,168,91,39,16,56,49,16,32,268,69,44,30,19,33,37,17,25,17,031,070300
125,6271,122,195,85,16,167,99,100,57,623,87,115,74,26,78,67,103,54,17,031,010600
126,4236,90,147,137,130,175,135,174,52,370,67,82,125,97,78,88,103,49,17,031,020400
127,4089,101,75,80,7,107,73,20,41,309,53,62,49,11,79,39,23,38,17,031,031000
128,2925,66,54,67,44,125,10,63,35,292,59,46,40,34,92,15,41,29,17,031,040300
129,2177,75,45,26,32,62,35,26,24,190,44,28,23,28,40,28,22,24,17,031,050600
130,1295,33,29,15,6,29,49,26,0,106,36,23,12,9,18,20,19,11,17,031,060500
131,7114,121,46,119,26,0,63,44,28,590,123,50,106,52,15,61,61,45,17,031,060900
132,1340,39,18,12,0,28,51,10,0,102,27,14,14,11,27,36,12,11,17,031,061800
133,1797,42,15,119,53,166,39,89,20,298,51,22,76,38,91,34,55,27,17,031,400500
134,1602,87,36,28,39,48,6,46,5,123,30,25,23,29,34,9,34,9,17,031,062300
135,3237,102,35,18,29,49,9,72,48,243,43,30,23,35,29,14,42,34,17,031,070400
136,3257,153,104,79,29,153,100,112,76,371,63,63,57,26,90,72,61,50,17,031,070600
137,2176,52,0,0,0,81,15,69,7,267,40,11,11,11,43,19,56,12,17,031,410100
138,1586,26,5,48,0,12,38,0,5,215,18,8,47,11,13,39,11,8,17,031,410200
139,2699,71,54,29,64,43,89,33,15,375,50,30,31,73,30,60,23,18,17,031,410600
140,3169,6,15,97,0,8,48,0,44,395,22,23,83,11,23,32,11,71,17,031,411000
141,1756,51,45,56,39,106,36,9,32,331,48,43,50,34,83,39,13,37,17,031,430800
142,1572,61,19,40,25,32,77,48,28,262,51,22,38,26,28,50,48,35,17,031,430900
143,4577,167,138,124,81,63,28,190,12,488,123,124,94,67,70,45,97,21,17,031,440300
144,1807,25,36,82,46,37,25,58,26,280,37,37,37,36,39,23,36,21,17,031,440600
145,1008,25,25,24,15,18,27,43,22,195,29,41,41,17,23,25,36,30,17,031,460600
146,3369,83,45,27,10,96,80,106,62,241,50,31,26,16,53,50,51,38,17,031,410900
147,2398,131,203,97,45,223,116,108,42,367,80,115,53,38,126,52,61,35,17,031,430300
148,2468,47,71,25,17,109,95,60,48,168,37,37,21,17,48,41,33,29,17,031,170600
149,3466,59,76,71,91,62,71,118,55,508,69,55,69,69,51,68,69,52,17,031,600900
150,5474,230,206,365,226,115,220,270,228,517,112,87,125,118,70,104,89,116,17,031,630300
151,2636,119,114,112,75,226,64,195,68,447,74,62,67,53,109,53,68,53,17,031,460700
152,4239,121,178,229,62,23,206,188,165,677,76,89,113,64,27,122,91,75,17,031,491000
153,4741,106,228,100,39,70,90,124,0,818,104,140,99,60,84,94,106,11,17,031,710800
154,4067,165,65,108,101,75,83,132,54,434,94,51,84,69,62,65,91,52,17,031,730400
155,5893,46,70,239,38,150,184,344,179,696,49,52,141,43,141,123,143,124,17,031,750500
156,1189,115,52,63,24,8,38,53,46,234,77,44,39,18,13,31,40,42,17,031,271400
157,6447,193,44,0,19,24,25,0,21,494,121,45,15,31,38,34,15,33,17,031,280100
158,4106,139,101,205,14,207,113,117,92,491,141,72,95,16,89,69,64,62,17,031,170200
159,2774,118,69,125,55,84,148,82,49,240,52,34,63,40,38,67,45,33,17,031,221000
160,2149,136,118,82,32,36,74,95,35,317,67,56,65,34,27,49,48,37,17,031,230200
161,3489,45,115,174,41,230,62,147,95,512,52,81,98,43,131,75,93,64,17,031,230500
162,1797,49,50,10,12,49,16,23,25,178,22,21,11,13,27,14,15,27,17,031,241200
163,1542,60,48,80,16,19,46,42,10,181,37,33,45,17,19,32,33,11,17,031,242800
164,2206,67,44,31,54,86,103,25,7,235,34,25,35,38,29,60,22,11,17,031,243200
165,1430,69,30,28,4,38,50,65,58,179,36,40,35,14,40,29,32,40,17,031,260300
166,1145,58,27,13,0,76,83,27,40,329,57,28,21,11,67,57,45,44,17,031,260400
167,2321,89,48,60,46,115,47,161,54,382,75,41,41,39,66,35,107,39,17,031,261000
168,1478,44,6,71,30,60,35,56,61,286,46,11,43,29,49,31,39,50,17,031,270500
169,1623,69,176,70,31,21,55,54,17,304,60,109,51,24,33,36,43,19,17,031,271500
170,7303,237,330,293,164,244,460,212,223,784,149,152,137,83,153,197,99,114,17,031,230600
171,2822,124,33,51,10,71,25,60,15,326,69,30,51,15,50,26,48,21,17,031,221500
172,1794,33,48,89,37,71,7,43,70,281,27,42,65,29,74,10,27,37,17,031,230100
173,1215,52,0,23,5,61,40,8,11,121,33,11,18,9,36,23,10,12,17,031,240300
174,2090,87,44,20,7,130,39,19,68,211,38,32,16,9,41,25,17,52,17,031,241300
175,2930,80,33,50,19,115,70,42,51,282,40,31,44,21,60,50,42,47,17,031,241500
176,3603,38,35,33,22,93,22,0,0,288,42,41,25,23,40,23,11,11,17,031,241600
177,3464,64,151,160,77,149,25,82,40,456,56,105,102,59,89,26,65,45,17,031,030300
178,5937,246,167,228,134,127,90,179,42,652,95,84,135,122,101,83,80,68,17,031,031200
179,3663,148,45,206,31,91,0,251,262,507,109,37,112,42,80,11,106,162,17,031,750600
180,1652,37,28,59,13,70,0,6,15,205,24,23,36,14,40,11,9,16,17,031,310200
181,2969,156,204,55,40,112,82,192,26,469,125,125,89,45,101,68,108,37,17,031,691200
182,4359,25,100,134,45,95,124,292,120,508,32,75,97,40,90,104,110,76,17,031,730500
183,3552,135,78,178,14,175,194,144,72,333,129,55,95,22,90,87,78,52,17,031,700100
184,1767,111,87,57,33,61,64,103,21,284,78,69,35,31,58,46,64,21,17,031,710600
185,1794,0,106,95,17,44,87,3,17,242,11,47,74,27,39,47,6,19,17,031,711300
186,3982,43,77,142,60,47,109,90,29,356,40,53,65,69,49,60,51,34,17,031,071300
187,4770,103,182,30,0,247,11,11,0,337,90,109,38,11,172,24,24,11,17,031,080300
188,4000,105,39,13,0,120,0,56,0,331,66,47,22,11,64,11,91,11,17,031,081600
189,9919,364,172,0,0,352,55,0,0,689,247,108,15,15,208,66,15,15,17,031,081800
190,923,34,13,40,18,41,5,4,17,110,23,13,33,20,30,8,8,12,17,031,081900
191,5691,304,215,346,130,109,284,228,237,529,123,93,143,62,55,123,97,124,17,031,570300
192,3362,125,94,133,67,150,147,133,95,436,78,52,70,46,106,63,59,54,17,031,611500
193,1706,92,64,82,44,72,60,36,0,307,58,47,47,37,60,45,30,11,17,031,611700
194,2230,49,71,94,39,77,43,114,20,166,35,49,56,31,41,30,75,21,17,031,620200
195,3208,129,23,21,9,12,60,65,10,305,94,25,23,14,18,68,62,17,17,031,500100
196,4656,57,185,140,70,160,301,190,157,487,52,78,101,48,92,139,82,65,17,031,520400
197,3701,49,80,261,49,177,127,122,30,399,46,63,134,47,122,108,87,31,17,031,640400
198,6034,177,243,253,152,250,265,326,82,641,106,95,114,84,111,104,116,65,17,031,660400
199,4887,165,176,212,135,334,185,99,106,570,82,88,95,77,143,91,54,63,17,031,660800
200,1905,64,73,76,39,75,49,72,19,296,49,55,50,34,51,37,39,22,17,031,671300
201,4402,106,181,207,117,160,301,155,127,661,82,125,125,80,120,150,114,122,17,031,300900
202,4087,293,124,295,76,125,259,227,106,616,111,74,124,60,79,130,130,71,17,031,301200
203,1729,34,50,43,21,23,85,59,9,182,29,28,42,17,15,46,42,11,17,031,071700
204,6739,447,190,266,292,273,204,279,217,510,209,100,133,184,132,108,126,142,17,031,020200
205,3836,82,86,64,121,196,73,113,95,361,49,44,43,97,88,50,65,70,17,031,020100
206,6691,198,31,0,56,84,309,66,0,625,129,36,15,47,116,159,63,15,17,031,031700
207,7604,84,145,92,32,128,152,274,82,574,87,68,69,35,91,98,136,75,17,031,031300
208,2826,166,164,62,14,132,84,49,40,243,73,68,40,22,68,55,34,35,17,031,051300
209,6897,72,51,77,0,177,125,76,31,538,55,80,74,15,128,88,94,38,17,031,063200
210,4272,280,126,127,40,229,90,71,16,433,122,61,65,28,105,59,43,17,17,031,070700
211,3180,125,27,35,10,33,98,27,30,427,77,26,31,15,32,50,26,25,17,031,071100
212,4745,46,43,23,8,83,37,37,17,482,43,48,36,17,68,38,61,27,17,031,071400
213,866,13,33,29,16,52,38,66,78,206,20,30,27,18,42,34,36,46,17,031,380500
214,1586,8,108,94,15,74,57,38,55,300,12,82,59,17,61,45,43,50,17,031,381400
215,1254,16,0,95,12,34,13,0,23,183,26,11,76,14,31,19,11,24,17,031,381800
216,1496,18,70,18,68,0,39,22,19,143,16,53,15,45,11,33,19,15,17,031,390500
217,5639,82,65,18,190,65,28,25,0,555,62,82,28,177,61,42,42,15,17,031,390700
218,2440,10,0,56,99,21,21,12,17,258,18,11,51,77,25,20,17,28,17,031,410500
219,1551,59,35,34,36,31,29,46,28,116,33,21,23,22,31,23,28,28,17,031,411200
220,3036,184,209,120,48,130,38,85,187,602,111,110,71,42,105,45,72,116,17,031,420700
221,3781,53,186,85,43,147,123,80,25,502,50,111,59,40,115,94,66,29,17,031,450300
222,1477,24,31,0,28,101,0,17,24,212,20,35,11,26,60,11,20,26,17,031,500300
223,5109,190,163,206,95,222,211,216,134,363,86,104,115,70,155,116,90,94,17,031,520500
224,2053,73,55,45,63,96,47,31,33,237,51,35,46,38,69,36,23,22,17,031,530400
225,6479,122,109,288,269,277,83,132,58,917,89,75,216,170,183,74,96,45,17,031,550100
226,1654,63,0,32,11,46,17,16,56,219,47,11,27,13,35,15,19,42,17,031,560200
227,1585,40,43,63,32,53,17,112,24,208,24,27,51,27,38,17,67,22,17,031,560400
228,1302,45,30,66,45,23,72,29,23,201,31,31,48,31,14,38,20,26,17,031,570100
229,2213,82,67,43,69,109,110,69,49,335,54,46,36,43,73,58,47,35,17,031,580800
230,891,24,35,43,6,6,37,49,25,139,25,25,38,9,10,38,30,22,17,031,611000
231,4947,211,220,114,105,151,180,260,70,257,154,123,86,69,71,76,119,53,17,031,740300
232,2482,170,102,71,14,102,131,80,57,370,92,60,43,20,56,67,65,35,17,031,460200
233,5584,94,133,179,94,24,73,96,83,601,87,124,85,86,46,75,87,74,17,031,480400
234,3989,239,179,262,146,106,167,268,181,611,116,83,130,103,68,92,132,104,17,031,520200
235,2809,110,71,124,85,106,77,216,110,324,78,53,86,64,68,48,118,49,17,031,520600
236,4712,74,267,189,102,46,274,281,86,482,58,115,115,60,61,112,126,56,17,031,580400
237,3145,147,75,89,49,106,175,72,78,402,77,42,61,33,51,56,47,62,17,031,560300
238,5886,193,289,172,77,224,303,318,0,531,111,152,107,70,123,137,209,15,17,031,560800
239,3784,84,300,129,99,122,192,104,184,440,56,112,64,49,69,105,69,110,17,031,580200
240,3393,203,146,154,43,116,70,207,70,386,104,68,81,37,88,45,96,56,17,031,590700
241,1981,89,125,130,38,74,146,128,30,303,55,72,58,32,49,63,78,28,17,031,610400
242,1509,36,90,36,46,71,23,30,32,197,31,41,42,33,56,18,23,27,17,031,610800
243,1373,37,40,68,20,53,56,18,60,213,26,34,34,34,34,57,20,36,17,031,612000
244,1042,29,1,24,10,41,72,56,32,210,25,8,23,11,37,42,34,28,17,031,612100
245,3970,117,103,98,46,57,121,225,59,389,77,75,70,53,47,62,135,47,17,031,640500
246,2120,28,117,102,88,105,100,78,61,395,30,94,57,35,113,66,55,46,17,031,400400
247,2158,121,97,90,64,108,127,93,3,349,75,69,59,44,61,66,39,6,17,031,420800
248,1495,79,38,16,0,39,57,19,19,289,57,42,26,11,62,54,30,29,17,031,310500
249,2480,0,44,68,0,15,80,80,7,396,11,50,79,11,35,71,70,18,17,031,390400
250,1447,31,35,52,5,21,38,76,61,164,31,39,34,10,26,29,46,48,17,031,420100
251,1131,27,9,16,0,43,4,18,23,147,26,10,21,11,33,8,26,26,17,031,420400
252,2828,84,56,65,91,20,87,88,30,314,63,46,49,62,30,102,60,37,17,031,431200
253,5647,252,44,131,111,0,96,223,186,662,210,52,154,124,15,95,170,134,17,031,460500
254,1139,4,24,32,0,15,54,6,9,180,7,19,34,11,18,43,9,12,17,031,480200
255,2008,30,127,54,33,42,11,64,82,234,34,81,32,27,32,11,47,54,17,031,490500
256,1498,24,35,13,35,64,78,10,74,248,30,22,16,41,39,44,13,37,17,031,490600
257,4116,123,92,143,148,43,51,99,164,512,81,73,109,73,54,40,73,99,17,031,490800
258,2131,122,108,105,34,151,65,26,13,280,66,65,54,28,85,47,21,12,17,031,500200
259,5126,176,196,154,135,106,147,199,40,625,148,130,106,111,80,100,105,43,17,031,510300
260,5857,284,267,375,200,158,130,201,165,689,140,139,149,95,106,95,101,95,17,031,520300
261,2097,80,117,50,57,74,40,121,64,257,53,61,35,41,57,31,66,50,17,031,420600
262,1693,87,103,33,6,91,45,37,21,267,89,70,28,13,63,30,27,19,17,031,440800
263,1961,75,31,32,25,48,55,37,12,218,25,20,21,29,20,23,30,16,17,031,061200
264,5207,110,49,49,94,132,196,131,48,390,71,40,54,69,87,109,87,49,17,031,221100
265,1888,47,12,0,19,55,26,14,20,156,19,12,11,15,27,16,12,17,17,031,061500
266,3818,71,43,135,0,80,44,55,13,287,34,36,59,11,37,30,36,19,17,031,062900
267,4392,184,181,106,38,227,19,96,36,423,97,122,96,42,86,22,48,35,17,031,210700
268,2917,93,52,10,40,40,73,44,39,339,68,54,17,37,34,44,50,49,17,031,221200
269,3448,114,51,16,14,132,0,73,24,231,62,50,26,22,67,11,82,37,17,031,063000
270,2024,44,42,42,8,57,52,20,19,198,31,36,23,17,46,29,21,23,17,031,071200
271,4585,83,0,8,0,45,0,0,8,396,74,11,21,11,52,11,11,18,17,031,081500
272,1378,68,34,73,0,33,70,22,15,112,33,26,33,11,21,49,19,14,17,031,090300
273,5482,185,121,96,172,194,150,181,117,399,78,66,62,70,84,74,52,62,17,031,130300
274,4789,191,142,202,27,219,92,117,42,297,74,63,66,24,95,43,58,33,17,031,100600
275,3095,64,77,20,67,163,116,182,10,404,65,73,34,50,97,81,92,15,17,031,210900
276,1067,103,25,41,26,70,60,37,11,250,79,27,29,23,48,37,31,17,17,031,260200
277,3177,61,76,119,74,82,115,107,87,246,46,68,56,58,68,69,53,51,17,031,170700
278,2058,26,0,14,0,13,13,21,13,236,32,11,21,11,16,19,24,19,17,031,170100
279,2606,58,109,157,80,61,118,68,24,246,34,51,53,42,51,70,42,23,17,031,190100
280,2607,101,39,0,0,40,30,11,30,249,72,22,11,11,29,31,15,26,17,031,220500
281,2462,97,91,85,64,109,44,79,22,237,42,52,49,35,58,37,47,17,17,031,222700
282,6782,309,346,234,149,211,305,352,153,806,191,143,130,80,145,151,135,83,17,031,231200
283,5772,196,167,89,105,185,239,219,62,992,137,117,83,95,156,138,125,73,17,031,231500
284,2267,88,0,26,0,99,40,0,28,178,80,11,35,11,49,31,11,32,17,031,240500
285,928,35,17,0,0,8,30,24,11,115,27,17,11,11,14,28,26,18,17,031,240900
286,3347,105,36,18,32,123,43,24,20,327,59,26,22,41,64,37,22,22,17,031,242200
287,3584,236,62,24,9,81,24,19,20,267,134,38,24,33,43,26,17,34,17,031,243500
288,7452,367,287,85,145,135,216,301,177,780,157,162,69,99,88,94,129,139,17,031,250500
289,960,64,4,0,11,11,69,14,45,130,31,7,11,15,12,55,18,29,17,031,251000
290,3951,175,185,101,11,120,140,41,53,455,100,91,81,17,78,76,32,48,17,031,251400
291,2659,173,195,75,81,109,69,149,108,434,104,130,57,54,93,63,76,72,17,031,260800
292,2731,74,82,80,21,112,82,67,11,230,35,49,38,21,39,48,39,17,17,031,050100
293,1610,51,38,41,5,97,47,30,29,161,30,27,22,8,44,27,25,26,17,031,050700
294,3772,204,21,13,0,32,33,0,7,347,87,23,21,11,34,31,11,11,17,031,062100
295,4819,136,100,145,151,176,288,194,169,479,82,64,84,89,104,136,82,84,17,031,620100
296,7111,249,363,237,126,385,318,256,132,675,151,121,101,89,150,109,124,84,17,031,630800
297,3608,247,239,76,53,149,132,133,84,298,119,116,51,46,81,62,65,58,17,031,640700
