,B01001_001E,B01001_003E,B01001_004E,B01001_005E,B01001_006E,B01001_027E,B01001_028E,B01001_029E,B01001_030E,B01001_001M,B01001_003M,B01001_004M,B01001_005M,B01001_006M,B01001_027M,B01001_028M,B01001_029M,B01001_030M,state,county,tract
0,5391,229,135,396,90,109,176,147,170,687,117,90,188,78,116,119,87,92,17,031,310900
1,1659,44,20,41,15,43,30,111,32,288,52,23,54,24,47,37,70,37,17,031,420500
2,2756,81,104,119,32,82,151,166,105,508,85,63,84,48,79,106,145,82,17,031,430400
3,1920,21,80,35,56,115,30,0,59,202,33,50,25,44,82,35,11,39,17,031,430600
4,2547,83,75,68,32,100,67,115,104,447,74,63,45,42,90,62,68,85,17,031,440900
5,3424,154,181,142,85,31,102,161,140,605,124,119,103,60,50,72,107,73,17,031,460100
6,2938,48,15,120,47,43,38,54,89,411,41,20,89,55,51,44,53,60,17,031,480500
7,3257,164,124,7,75,115,161,73,7,286,116,102,12,69,66,72,68,13,17,031,283100
8,4721,137,277,217,198,224,222,214,96,587,88,157,102,80,101,114,93,100,17,031,300700
9,4070,130,226,383,143,134,189,91,177,610,114,115,159,80,86,98,73,109,17,031,300800
10,1067,13,35,70,39,59,96,46,17,187,15,27,46,26,40,61,29,21,17,031,340600
11,1837,22,41,47,34,31,15,99,26,207,13,35,36,39,28,23,47,20,17,031,340300
12,3711,0,20,37,62,17,0,82,7,539,11,35,42,77,28,11,96,16,17,031,351000
13,5845,286,168,209,138,371,109,121,82,552,149,94,102,84,171,60,70,62,17,031,660600
14,944,9,11,43,3,0,8,24,9,170,12,13,47,7,11,12,18,11,17,031,670100
15,1263,23,20,35,25,38,63,68,22,237,27,23,32,27,33,41,53,25,17,031,670800
16,1044,51,55,38,4,108,66,86,64,248,30,33,34,7,75,40,54,39,17,031,671100
17,939,40,54,9,15,33,0,57,72,198,30,34,14,19,29,11,50,37,17,031,671200
18,1394,0,20,48,20,52,35,0,40,338,11,28,51,32,43,30,11,43,17,031,671400
19,2343,65,94,74,38,97,92,70,34,318,46,74,62,33,56,88,54,33,17,031,671500
20,2016,32,30,43,11,79,53,32,28,316,27,33,48,20,64,40,31,28,17,031,671600
21,4064,179,100,179,42,0,76,267,119,591,118,83,148,37,11,62,120,89,17,031,672000
22,3321,30,75,90,87,141,136,94,78,386,35,61,63,73,124,77,68,53,17,031,510200
23,2290,114,110,111,72,91,20,150,40,338,81,50,71,53,47,19,70,45,17,031,570500
24,3125,93,131,144,93,12,72,60,22,359,71,123,77,70,21,77,63,20,17,031,600600
25,2496,104,117,40,83,149,155,47,40,321,62,73,29,43,69,73,66,39,17,031,611200
26,1805,94,47,57,31,94,68,57,44,188,49,35,37,26,38,49,36,31,17,031,640800
27,1457,61,13,134,59,72,72,8,9,296,65,19,60,39,61,56,17,18,17,031,670900
28,2707,27,41,99,125,67,64,25,65,456,31,45,87,69,58,51,41,56,17,031,691300
29,2474,124,59,86,33,120,24,40,63,342,110,63,80,31,90,28,39,69,17,031,430700
